name,throws,age,stints,teamID,LG,POS1,W,L,CG,ShO,GP,GS,SV,GF,IPOuts, IP , ERA ,HA,ER,HRA,BBA,SOA,IBBA,WP,HPBA,BK,BFP,RA, CMD , DOM , CTL , HR9 , WHIP , WRIP ,HRBIB, RAVG , FIP , DERA , STUFF , GURU ,salary,WAR
Jo Hader,L,25,1,MIL,NL,Reliever,3,5,0,0,61,0,37,46,227,75.7, 2.62 ,41,22,15,20,138,2,0,4,0,289,24, 6.9 , 16.4 , 2.4 , 1.8 , 0.81 , 2.25 , 0.20 , 2.85 , 3.08 ,2.84, 560 , 110 ,0.6876,2.2
Ma Hall,L,25,1,DET,AL,Reliever,0,1,0,0,16,0,0,7,70,23.3, 7.71 ,28,20,4,15,27,1,1,1,0,113,20, 1.8 , 10.4 , 5.8 , 1.5 , 1.84 , 2.36 , 0.10 , 7.71 , 5.17 ,4.78, 61 , 10 ,0.16412,0.0
Co Hamels,L,35,1,CHN,NL,Starter,7,7,0,0,27,27,0,0,425,141.7, 3.81 ,141,60,17,56,143,1,1,7,0,617,64, 2.6 , 9.1 , 3.6 , 1.1 , 1.39 , 1.60 , 0.06 , 4.07 , 4.08 ,4.0, 77 , 51 ,20.0,2.5
Br Hand,L,29,1,CLE,AL,Reliever,6,4,0,0,60,0,34,54,172,57.3, 3.30 ,53,21,6,18,84,5,0,4,0,242,21, 4.7 , 13.2 , 2.8 , 0.9 , 1.24 , 1.36 , 0.07 , 3.30 , 2.78 ,2.54, 350 , 149 ,6.5,1.5
Ry Harper,R,30,1,MIN,AL,Reliever,4,2,0,0,61,0,1,7,163,54.3, 3.81 ,54,23,7,10,50,0,5,1,0,225,25, 5.0 , 8.3 , 1.7 , 1.2 , 1.18 , 1.47 , 0.07 , 4.14 , 3.64 ,3.55, 87 , 45 ,0.525184,0.8
Wi Harris,R,34,1,HOU,AL,Reliever,4,1,0,0,68,0,4,10,180,60.0, 1.50 ,42,10,6,14,62,0,3,0,0,229,14, 4.4 , 9.3 , 2.1 , 0.9 , 0.93 , 1.23 , 0.05 , 2.10 , 3.13 ,3.08, 135 , 76 ,4.225,1.1
Ge Hartlieb,R,26,1,PIT,NL,Reliever,0,1,0,0,29,0,0,10,105,35.0, 9.00 ,52,35,8,18,38,0,5,0,1,171,35, 2.1 , 9.8 , 4.6 , 2.1 , 2.00 , 2.80 , 0.14 , 9.00 , 5.54 ,5.07, 44 , 10 ,0.274528,-0.2
An Heaney,L,28,1,LAA,AL,Reliever,4,6,0,0,18,18,0,0,286,95.3, 4.91 ,93,52,20,30,118,1,4,7,0,409,53, 3.9 , 11.1 , 2.8 , 1.9 , 1.29 , 2.41 , 0.14 , 5.00 , 4.62 ,4.35, 139 , 31 ,3.4,1.3
Je Hellickson,R,32,1,WAS,NL,Reliever,2,3,0,0,9,8,0,1,117,39.0, 6.23 ,47,27,9,20,30,1,1,1,0,183,31, 1.5 , 6.9 , 4.6 , 2.1 , 1.72 , 2.82 , 0.12 , 7.15 , 6.28 ,5.85, 0 , 6 ,1.9,0.0
He Hembree,R,30,1,BOS,AL,Reliever,1,0,0,0,45,0,2,14,119,39.7, 3.86 ,34,17,7,18,46,2,2,3,0,173,20, 2.6 , 10.4 , 4.1 , 1.6 , 1.31 , 2.22 , 0.11 , 4.54 , 4.76 ,4.41, 94 , 18 ,1.3125,0.1
Ky Hendricks,R,29,1,CHN,NL,Starter,11,10,1,1,30,30,0,0,531,177.0, 3.46 ,168,68,19,32,150,1,1,9,0,730,78, 4.7 , 7.6 , 1.6 , 1.0 , 1.13 , 1.25 , 0.05 , 3.97 , 3.60 ,3.53, 71 , 85 ,7.405,4.2
Li Hendriks,R,30,1,OAK,AL,Reliever,4,4,0,0,75,2,25,41,255,85.0, 1.80 ,61,17,5,21,124,5,7,2,0,332,18, 5.9 , 13.1 , 2.2 , 0.5 , 0.96 , 0.84 , 0.04 , 1.91 , 1.86 ,1.74, 420 , 634 ,2.15,3.9
El Hernandez,R,24,1,MIA,NL,Reliever,3,5,0,0,21,15,0,1,247,82.3, 5.03 ,76,46,20,26,85,1,2,9,1,353,49, 3.3 , 9.3 , 2.8 , 2.2 , 1.24 , 2.74 , 0.14 , 5.36 , 5.57 ,5.24, 50 , 16 ,0.355096,0.0
Fe Hernandez,R,33,1,SEA,AL,Reliever,1,8,0,0,15,15,0,0,215,71.7, 6.40 ,85,51,17,25,57,0,5,6,0,325,58, 2.3 , 7.2 , 3.1 , 2.1 , 1.53 , 2.72 , 0.12 , 7.28 , 5.99 ,5.65, 6 , 11 ,27.857142,-0.2
Ke Herrera,R,29,1,CHA,AL,Reliever,3,3,0,0,57,0,1,16,154,51.3, 6.14 ,60,35,8,23,53,6,8,1,2,235,36, 2.3 , 9.3 , 4.0 , 1.4 , 1.62 , 2.01 , 0.09 , 6.31 , 4.56 ,4.03, 67 , 28 ,8.5,0.4
Da Hess,R,25,1,BAL,AL,Reliever,1,10,0,0,23,14,0,5,240,80.0, 7.09 ,94,63,28,30,68,0,1,2,0,365,73, 2.3 , 7.7 , 3.4 , 3.2 , 1.55 , 3.88 , 0.19 , 8.21 , 7.25 ,6.71, 0 , 7 ,0.36663,-0.7
Ri Hill,L,39,1,LAN,NL,Reliever,4,1,0,0,13,13,0,0,176,58.7, 2.45 ,48,16,10,18,72,2,0,4,0,242,20, 4.0 , 11.0 , 2.8 , 1.5 , 1.13 , 2.01 , 0.11 , 3.07 , 4.09 ,3.84, 161 , 35 ,18.666668,1.0
Ti Hill,L,29,1,KCA,AL,Reliever,2,0,0,0,46,0,1,4,119,39.7, 3.63 ,31,16,4,13,39,2,0,4,0,161,17, 3.0 , 8.8 , 2.9 , 0.9 , 1.11 , 1.34 , 0.05 , 3.86 , 3.83 ,3.67, 90 , 35 ,0.31332,0.5
Yo Hirano,R,35,1,ARI,NL,Reliever,5,5,0,0,62,0,1,11,159,53.0, 4.75 ,51,28,7,22,61,2,2,3,0,233,31, 2.8 , 10.4 , 3.7 , 1.2 , 1.38 , 1.74 , 0.08 , 5.26 , 4.03 ,3.79, 122 , 35 ,3.5,0.5
Je Hoffman,R,26,1,COL,NL,Reliever,2,6,0,0,15,15,0,0,210,70.0, 6.56 ,77,51,21,34,68,3,2,4,0,315,51, 2.0 , 8.7 , 4.4 , 2.7 , 1.59 , 3.49 , 0.17 , 6.56 , 6.79 ,6.28, 8 , 8 ,0.199928,-0.4
De Holland,L,32,2,CHN,NL,Reliever,2,5,1,0,51,8,0,19,253,84.3, 6.08 ,82,57,20,45,82,2,1,4,0,376,61, 1.8 , 8.8 , 4.8 , 2.1 , 1.51 , 2.91 , 0.13 , 6.51 , 6.08 ,5.8, 14 , 12 ,0.475,-1.0
Cl Holmes,R,26,1,PIT,NL,Reliever,1,2,0,0,35,0,0,10,150,50.0, 5.58 ,45,31,5,36,56,1,4,9,0,240,36, 1.6 , 10.1 , 6.5 , 0.9 , 1.62 , 1.72 , 0.06 , 6.48 , 4.96 ,4.76, 57 , 15 ,0.423728,-0.2
Ad Houser,R,26,1,MIL,NL,Reliever,6,7,0,0,35,18,0,7,334,111.3, 3.72 ,101,46,14,37,117,2,2,5,0,462,49, 3.2 , 9.5 , 3.0 , 1.1 , 1.24 , 1.59 , 0.07 , 3.96 , 3.86 ,3.72, 104 , 55 ,0.450584,1.5
Sa Howard,L,26,1,COL,NL,Reliever,2,0,0,0,20,0,0,3,57,19.0, 6.63 ,21,14,5,10,23,0,2,3,0,91,16, 2.3 , 10.9 , 4.7 , 2.4 , 1.63 , 3.16 , 0.17 , 7.58 , 6.25 ,5.78, 57 , 4 ,0.158152,-0.2
Da Hudson,R,32,2,WAS,NL,Reliever,9,3,0,0,69,1,8,25,219,73.0, 2.47 ,56,20,8,27,71,2,2,4,0,304,25, 2.6 , 8.8 , 3.3 , 1.0 , 1.14 , 1.47 , 0.06 , 3.08 , 3.95 ,3.81, 75 , 40 ,0.491965,0.6
