name,throws,age,stints,teamID,LG,POS1,W,L,CG,ShO,GP,GS,SV,GF,IPOuts, IP , ERA ,HA,ER,HRA,BBA,SOA,IBBA,WP,HPBA,BK,BFP,RA, CMD , DOM , CTL , HR9 , WHIP , WRIP ,HRBIB, RAVG , FIP , DERA , STUFF , GURU ,salary,WAR
Lo Trivino,R,27,1,OAK,AL,Reliever,4,6,0,0,61,0,0,10,180,60.0, 5.25 ,61,35,7,31,57,2,7,3,0,269,40, 1.8 , 8.6 , 4.7 , 1.1 , 1.53 , 1.68 , 0.06 , 6.00 , 4.52 ,4.32, 42 , 24 ,0.5575,0.3
Da Hess,R,25,1,BAL,AL,Reliever,1,10,0,0,23,14,0,5,240,80.0, 7.09 ,94,63,28,30,68,0,1,2,0,365,73, 2.3 , 7.7 , 3.4 , 3.2 , 1.55 , 3.88 , 0.19 , 8.21 , 7.25 ,6.71, 0 , 7 ,0.36663,-0.7
Ry Tepera,R,31,1,TOR,AL,Reliever,0,2,0,0,23,1,0,7,65,21.7, 4.98 ,20,12,5,8,14,2,2,0,0,91,12, 1.8 , 5.8 , 3.3 , 2.1 , 1.29 , 2.68 , 0.11 , 4.98 , 6.02 ,5.61, 0 , 5 ,1.525,-0.2
Ca Carrasco,R,32,1,CLE,AL,Reliever,6,7,1,1,23,12,1,3,240,80.0, 5.29 ,92,47,18,16,96,1,2,2,0,341,48, 6.0 , 10.8 , 1.8 , 2.0 , 1.35 , 2.45 , 0.14 , 5.40 , 4.40 ,4.06, 148 , 34 ,9.75,0.9
Br Martin,L,24,1,TEX,AL,Reliever,2,3,0,0,51,2,0,7,187,62.3, 4.76 ,72,33,7,18,62,2,3,2,0,280,38, 3.4 , 9.0 , 2.6 , 1.0 , 1.44 , 1.41 , 0.06 , 5.49 , 3.63 ,3.51, 99 , 49 ,0.444616,0.9
Ky Gibson,R,31,1,MIN,AL,Reliever,13,7,0,0,34,29,0,0,480,160.0, 4.84 ,175,86,23,56,160,0,8,7,0,706,99, 2.9 , 9.0 , 3.2 , 1.3 , 1.44 , 1.79 , 0.08 , 5.57 , 4.25 ,4.09, 74 , 52 ,8.125,2.6
El Luciano,R,19,1,TOR,AL,Reliever,1,0,0,0,25,0,0,9,101,33.7, 5.35 ,36,20,4,24,27,1,4,3,0,159,20, 1.1 , 7.2 , 6.4 , 1.1 , 1.78 , 1.90 , 0.06 , 5.35 , 5.55 ,5.36, 2 , 8 ,0.555,-0.2
Jo Lopez,R,26,1,KCA,AL,Reliever,4,9,0,0,39,18,1,8,371,123.7, 6.33 ,140,87,27,42,109,0,6,10,0,548,94, 2.6 , 7.9 , 3.1 , 2.0 , 1.47 , 2.52 , 0.11 , 6.84 , 5.54 ,5.25, 21 , 21 ,0.56225,-0.3
Je Blevins,L,35,1,ATL,NL,Reliever,1,0,0,0,45,0,1,12,97,32.3, 3.90 ,25,14,5,16,37,2,2,2,0,141,15, 2.3 , 10.3 , 4.5 , 1.4 , 1.27 , 2.04 , 0.09 , 4.18 , 4.59 ,4.29, 90 , 18 ,1.0,0.0
Pa Lopez,R,23,1,MIA,NL,Reliever,5,8,0,0,21,21,0,0,334,111.3, 5.09 ,111,63,15,27,95,3,6,11,2,469,64, 3.5 , 7.7 , 2.2 , 1.2 , 1.24 , 1.59 , 0.07 , 5.17 , 4.27 ,4.08, 51 , 41 ,0.555,1.6
Ha Robles,R,28,1,LAA,AL,Reliever,5,1,0,0,71,1,23,51,218,72.7, 2.48 ,58,20,6,16,75,1,4,0,1,283,20, 4.7 , 9.3 , 2.0 , 0.7 , 1.02 , 1.05 , 0.04 , 2.48 , 2.87 ,2.81, 149 , 112 ,1.4,1.9
Sc Barlow,R,26,1,KCA,AL,Reliever,3,3,0,0,61,0,1,7,211,70.3, 4.22 ,64,33,6,37,92,3,5,3,1,310,33, 2.5 , 11.8 , 4.7 , 0.8 , 1.44 , 1.38 , 0.05 , 4.22 , 3.40 ,3.25, 193 , 68 ,0.604635,1.1
Ja Garcia,L,26,1,MIA,NL,Reliever,4,2,0,0,53,0,0,11,152,50.7, 3.02 ,40,17,4,16,39,2,4,2,0,206,17, 2.4 , 6.9 , 2.8 , 0.7 , 1.11 , 1.11 , 0.04 , 3.02 , 3.75 ,3.7, 39 , 38 ,0.46252,0.5
He Rondon,R,31,1,HOU,AL,Reliever,3,2,0,0,62,1,0,5,182,60.7, 3.71 ,56,25,10,20,48,0,0,4,0,257,25, 2.4 , 7.1 , 3.0 , 1.5 , 1.25 , 1.98 , 0.08 , 3.71 , 4.95 ,4.83, 18 , 16 ,4.5,-0.2
Mi Feliz,R,26,1,PIT,NL,Reliever,4,4,0,0,58,1,0,5,169,56.3, 3.99 ,44,25,11,27,73,1,0,2,1,239,27, 2.7 , 11.7 , 4.3 , 1.8 , 1.26 , 2.43 , 0.13 , 4.31 , 4.69 ,4.43, 133 , 21 ,0.64894,0.0
Gl Sparkman,R,27,1,KCA,AL,Reliever,4,11,1,1,31,23,0,2,408,136.0, 6.02 ,164,91,30,41,81,1,6,6,2,606,96, 2.0 , 5.4 , 2.7 , 2.0 , 1.51 , 2.51 , 0.10 , 6.35 , 5.91 ,5.64, 0 , 19 ,0.480424,-0.5
Jo Biagini,R,29,2,HOU,AL,Reliever,3,2,0,0,63,0,1,15,194,64.7, 4.59 ,71,33,14,26,60,3,3,1,0,281,35, 2.3 , 8.4 , 3.6 , 1.9 , 1.50 , 2.57 , 0.12 , 4.87 , 5.41 ,5.03, 26 , 15 ,0.183882,-0.2
An Cashner,R,32,2,BOS,AL,Reliever,11,8,0,0,42,23,1,3,450,150.0, 4.68 ,144,78,19,58,108,0,8,4,0,636,84, 1.9 , 6.5 , 3.5 , 1.1 , 1.35 , 1.65 , 0.06 , 5.04 , 4.65 ,4.61, 11 , 36 ,1.577,1.8
Ke Kela,R,26,1,PIT,NL,Reliever,2,0,0,0,32,0,1,8,89,29.7, 2.12 ,19,7,3,11,33,0,1,1,0,119,7, 3.0 , 10.0 , 3.3 , 0.9 , 1.01 , 1.38 , 0.06 , 2.12 , 3.50 ,3.46, 132 , 39 ,3.175,0.4
An Miller,L,34,1,STL,NL,Reliever,5,6,0,0,73,0,6,11,164,54.7, 4.45 ,45,27,11,27,70,1,4,8,0,236,32, 2.6 , 11.5 , 4.4 , 1.8 , 1.32 , 2.51 , 0.13 , 5.27 , 5.18 ,4.94, 113 , 14 ,11.5,-0.4
Ty Chatwood,R,29,1,CHN,NL,Reliever,5,3,0,0,38,5,2,9,230,76.7, 3.76 ,65,32,8,37,74,0,8,5,0,324,33, 2.0 , 8.7 , 4.3 , 0.9 , 1.33 , 1.53 , 0.05 , 3.87 , 4.27 ,4.24, 53 , 29 ,12.5,0.7
Jo Duplantier,R,25,1,ARI,NL,Reliever,1,1,0,0,15,3,1,5,110,36.7, 4.42 ,39,18,2,18,34,1,2,5,0,163,18, 1.9 , 8.3 , 4.4 , 0.5 , 1.55 , 1.04 , 0.03 , 4.42 , 3.94 ,3.87, 58 , 28 ,0.28348,0.3
