name,throws,age,stints,teamID,LG,POS1,W,L,CG,ShO,GP,GS,SV,GF,IPOuts, IP , ERA ,HA,ER,HRA,BBA,SOA,IBBA,WP,HPBA,BK,BFP,RA, CMD , DOM , CTL , HR9 , WHIP , WRIP ,HRBIB, RAVG , FIP , DERA , STUFF , GURU ,salary,WAR
Co Hamels,L,35,1,CHN,NL,Starter,7,7,0,0,27,27,0,0,425,141.7, 3.81 ,141,60,17,56,143,1,1,7,0,617,64, 2.6 , 9.1 , 3.6 , 1.1 , 1.39 , 1.60 , 0.06 , 4.07 , 4.08 ,4.0, 77 , 51 ,20.0,2.5
So Gray,R,29,1,CIN,NL,Starter,11,8,0,0,31,31,0,0,526,175.3, 2.87 ,122,56,17,68,205,1,7,7,1,708,59, 3.0 , 10.5 , 3.5 , 0.9 , 1.08 , 1.36 , 0.06 , 3.03 , 3.41 ,3.34, 155 , 98 ,7.5,4.6
Sp Turnbull,R,26,1,DET,AL,Starter,3,17,0,0,30,30,0,0,445,148.3, 4.61 ,154,76,14,59,146,1,9,16,0,656,86, 2.5 , 8.9 , 3.6 , 0.8 , 1.44 , 1.34 , 0.05 , 5.22 , 3.98 ,3.89, 77 , 57 ,0.5561,2.7
Ch Paddack,R,23,1,SDN,NL,Starter,9,7,0,0,26,26,0,0,422,140.7, 3.33 ,107,52,23,31,153,1,1,6,1,568,58, 4.9 , 9.8 , 2.0 , 1.5 , 0.98 , 1.86 , 0.09 , 3.71 , 3.94 ,3.76, 125 , 61 ,0.525184,2.3
Br Anderson,L,31,1,OAK,AL,Starter,13,9,0,0,31,31,0,0,528,176.0, 3.89 ,181,76,20,49,90,2,4,4,0,743,80, 1.8 , 4.6 , 2.5 , 1.0 , 1.31 , 1.41 , 0.05 , 4.09 , 4.56 ,4.58, 1 , 41 ,1.5,2.2
Pa Corbin,L,29,1,WAS,NL,Starter,14,7,1,1,33,33,0,0,606,202.0, 3.25 ,169,73,24,70,238,2,4,3,0,835,81, 3.4 , 10.6 , 3.1 , 1.1 , 1.18 , 1.53 , 0.07 , 3.61 , 3.47 ,3.4, 159 , 102 ,12.916666,4.5
Ja deGrom,R,31,1,NYN,NL,Starter,11,8,0,0,32,32,0,0,612,204.0, 2.43 ,154,55,19,44,255,1,2,7,0,804,59, 5.8 , 11.3 , 1.9 , 0.8 , 0.97 , 1.15 , 0.06 , 2.60 , 2.66 ,2.61, 255 , 221 ,9.5,7.6
Da Norris,L,26,1,DET,AL,Starter,3,13,0,0,32,29,0,0,433,144.3, 4.49 ,154,72,25,38,125,0,5,4,0,610,75, 3.3 , 7.8 , 2.4 , 1.6 , 1.33 , 2.00 , 0.09 , 4.68 , 4.59 ,4.47, 40 , 38 ,1.275,1.8
Ja Vargas,L,36,2,PHI,NL,Starter,7,9,1,1,30,29,0,1,449,149.7, 4.51 ,141,75,21,63,124,2,5,6,0,649,84, 2.0 , 7.5 , 3.8 , 1.3 , 1.36 , 1.82 , 0.07 , 5.05 , 4.75 ,4.66, 21 , 35 ,8.0,1.4
Za Wheeler,R,29,1,NYN,NL,Starter,11,8,0,0,31,31,0,0,586,195.3, 3.96 ,196,86,22,50,195,4,5,2,0,828,93, 3.9 , 9.0 , 2.3 , 1.0 , 1.26 , 1.38 , 0.06 , 4.28 , 3.47 ,3.35, 109 , 105 ,5.975,5.2
Wa Miley,L,32,1,HOU,AL,Starter,14,6,0,0,33,33,0,0,502,167.3, 3.98 ,164,74,23,61,140,0,4,5,2,720,83, 2.3 , 7.5 , 3.3 , 1.2 , 1.34 , 1.74 , 0.07 , 4.46 , 4.50 ,4.44, 30 , 43 ,5.0,2.0
Ta Roark,R,32,2,OAK,AL,Starter,10,10,0,0,31,31,0,0,496,165.3, 4.35 ,180,80,28,51,158,1,3,13,0,722,84, 3.1 , 8.6 , 2.8 , 1.5 , 1.40 , 2.00 , 0.09 , 4.57 , 4.65 ,4.43, 57 , 43 ,1.179543,2.1
Ma Perez,L,28,1,MIN,AL,Starter,10,7,0,0,32,29,0,0,496,165.3, 5.12 ,184,94,23,67,135,1,3,3,1,737,104, 2.0 , 7.3 , 3.6 , 1.3 , 1.52 , 1.80 , 0.07 , 5.66 , 4.65 ,4.54, 22 , 40 ,3.5,1.8
Da Duffy,L,30,1,KCA,AL,Starter,7,6,0,0,23,23,0,0,392,130.7, 4.34 ,125,63,21,46,115,0,4,8,0,555,69, 2.5 , 7.9 , 3.2 , 1.4 , 1.31 , 1.96 , 0.08 , 4.75 , 4.77 ,4.68, 34 , 31 ,15.25,1.3
Ma Bumgarner,L,29,1,SFN,NL,Starter,9,9,0,0,34,34,0,0,623,207.7, 3.90 ,191,90,30,43,203,3,3,10,0,844,99, 4.7 , 8.8 , 1.9 , 1.3 , 1.13 , 1.65 , 0.08 , 4.29 , 3.89 ,3.77, 94 , 79 ,12.0,3.7
Er Lauer,L,24,1,SDN,NL,Starter,8,10,0,0,30,29,0,0,449,149.7, 4.45 ,158,74,20,51,138,4,4,5,1,651,82, 2.7 , 8.3 , 3.1 , 1.2 , 1.40 , 1.68 , 0.07 , 4.93 , 4.22 ,4.06, 56 , 51 ,0.5625,2.2
Me Kelly,R,31,1,ARI,NL,Starter,13,14,0,0,32,32,0,0,550,183.3, 4.42 ,184,90,29,57,158,4,4,2,0,777,95, 2.8 , 7.8 , 2.8 , 1.4 , 1.31 , 1.89 , 0.08 , 4.66 , 4.50 ,4.3, 38 , 50 ,2.0,1.4
No Syndergaard,R,26,1,NYN,NL,Starter,10,8,1,1,32,32,0,0,593,197.7, 4.28 ,194,94,24,50,202,2,4,6,0,825,101, 4.0 , 9.2 , 2.3 , 1.1 , 1.23 , 1.47 , 0.07 , 4.60 , 3.58 ,3.47, 113 , 95 ,6.0,4.3
Dy Bundy,R,26,1,BAL,AL,Starter,7,14,0,0,30,30,0,0,485,161.7, 4.79 ,161,86,29,58,162,0,7,6,1,700,95, 2.8 , 9.0 , 3.2 , 1.6 , 1.35 , 2.15 , 0.10 , 5.29 , 4.72 ,4.51, 59 , 40 ,2.8,2.6
Mi Fiers,R,34,1,OAK,AL,Starter,15,4,1,1,33,33,0,0,554,184.7, 3.90 ,166,80,30,53,126,0,13,9,1,754,82, 2.4 , 6.1 , 2.6 , 1.5 , 1.19 , 1.91 , 0.08 , 4.00 , 4.95 ,4.9, 8 , 36 ,6.0,1.7
Ma Stroman,R,28,2,NYN,NL,Starter,10,13,0,0,32,32,0,0,553,184.3, 3.22 ,183,66,18,58,159,1,7,1,0,774,77, 2.7 , 7.8 , 2.8 , 0.9 , 1.31 , 1.29 , 0.05 , 3.76 , 3.70 ,3.66, 57 , 78 ,2.54624,3.6
