name,throws,age,stints,teamID,LG,POS1,W,L,CG,ShO,GP,GS,SV,GF,IPOuts, IP , ERA ,HA,ER,HRA,BBA,SOA,IBBA,WP,HPBA,BK,BFP,RA, CMD , DOM , CTL , HR9 , WHIP , WRIP ,HRBIB, RAVG , FIP , DERA , STUFF , GURU ,salary,WAR
Lu Castillo,R,26,1,CIN,NL,Starter,15,8,0,0,32,32,0,0,572,190.7, 3.40 ,139,72,22,79,226,0,5,7,3,781,76, 2.9 , 10.7 , 3.7 , 1.0 , 1.14 , 1.57 , 0.07 , 3.59 , 3.68 ,3.61, 144 , 83 ,0.5575,3.8
Er Lauer,L,24,1,SDN,NL,Starter,8,10,0,0,30,29,0,0,449,149.7, 4.45 ,158,74,20,51,138,4,4,5,1,651,82, 2.7 , 8.3 , 3.1 , 1.2 , 1.40 , 1.68 , 0.07 , 4.93 , 4.22 ,4.06, 56 , 51 ,0.5625,2.2
Jo Ruiz,R,24,1,CHA,AL,Reliever,1,4,0,0,40,1,0,16,120,40.0, 5.63 ,56,25,6,24,35,2,4,2,0,198,27, 1.5 , 7.9 , 5.4 , 1.4 , 2.00 , 2.10 , 0.08 , 6.08 , 5.35 ,4.92, 13 , 12 ,0.420744,0.1
Ty Chatwood,R,29,1,CHN,NL,Reliever,5,3,0,0,38,5,2,9,230,76.7, 3.76 ,65,32,8,37,74,0,8,5,0,324,33, 2.0 , 8.7 , 4.3 , 0.9 , 1.33 , 1.53 , 0.05 , 3.87 , 4.27 ,4.24, 53 , 29 ,12.5,0.7
Al Claudio,L,27,1,MIL,NL,Reliever,2,2,0,0,83,0,0,9,186,62.0, 4.06 ,57,28,8,24,44,2,1,6,0,267,29, 1.8 , 6.4 , 3.5 , 1.2 , 1.31 , 1.68 , 0.06 , 4.21 , 4.91 ,4.81, 9 , 17 ,1.275,-0.2
Jo Quijada,L,24,1,MIA,NL,Reliever,2,3,0,0,34,0,1,9,89,29.7, 5.76 ,27,19,10,26,44,3,2,4,0,144,20, 1.7 , 13.3 , 7.9 , 3.0 , 1.79 , 4.25 , 0.29 , 6.07 , 7.65 ,6.89, 52 , 3 ,0.295416,-1.1
Jo Smith,R,31,1,BOS,AL,Reliever,0,3,0,0,18,2,1,13,93,31.0, 5.81 ,36,20,10,8,29,1,0,3,0,139,22, 3.6 , 8.4 , 2.3 , 2.9 , 1.42 , 3.48 , 0.19 , 6.39 , 6.59 ,5.98, 17 , 5 ,8.0,-0.4
Za Plesac,R,24,1,CLE,AL,Reliever,8,6,1,1,21,21,0,0,347,115.7, 3.81 ,102,49,19,40,88,0,1,3,0,475,52, 2.2 , 6.8 , 3.1 , 1.5 , 1.23 , 1.99 , 0.08 , 4.05 , 4.93 ,4.86, 13 , 25 ,0.34316,0.9
Ro Ray,L,27,1,ARI,NL,Starter,12,8,0,0,33,33,0,0,523,174.3, 4.34 ,150,84,30,84,235,5,7,5,0,747,91, 2.8 , 12.1 , 4.3 , 1.5 , 1.34 , 2.20 , 0.12 , 4.70 , 4.27 ,4.04, 170 , 57 ,6.05,1.9
Ja Hughes,R,33,2,PHI,NL,Reliever,5,5,0,0,72,0,1,13,214,71.3, 4.04 ,57,32,13,27,54,1,1,2,0,289,37, 2.0 , 6.8 , 3.4 , 1.6 , 1.18 , 2.20 , 0.09 , 4.67 , 5.27 ,5.2, 7 , 14 ,0.52555,-0.5
Ma Boyd,L,28,1,DET,AL,Starter,9,12,0,0,32,32,0,0,556,185.3, 4.56 ,178,94,39,50,238,1,6,8,4,788,101, 4.8 , 11.6 , 2.4 , 1.9 , 1.23 , 2.37 , 0.14 , 4.90 , 4.31 ,4.06, 175 , 59 ,2.6,3.2
Se Newcomb,L,26,1,ATL,NL,Reliever,6,3,0,0,55,4,1,4,205,68.3, 3.16 ,61,24,8,29,65,1,4,3,0,293,28, 2.2 , 8.6 , 3.8 , 1.1 , 1.32 , 1.60 , 0.06 , 3.69 , 4.22 ,4.15, 56 , 29 ,0.49236,0.3
Yu Darvish,R,32,1,CHN,NL,Starter,6,8,0,0,31,31,0,0,536,178.7, 3.98 ,140,79,33,56,229,1,11,11,0,731,82, 4.1 , 11.5 , 2.8 , 1.7 , 1.10 , 2.16 , 0.12 , 4.13 , 4.16 ,3.95, 176 , 62 ,20.0,2.3
Ma Perez,L,28,1,MIN,AL,Starter,10,7,0,0,32,29,0,0,496,165.3, 5.12 ,184,94,23,67,135,1,3,3,1,737,104, 2.0 , 7.3 , 3.6 , 1.3 , 1.52 , 1.80 , 0.07 , 5.66 , 4.65 ,4.54, 22 , 40 ,3.5,1.8
Ja Barria,R,22,1,LAA,AL,Reliever,4,10,0,0,19,13,0,1,248,82.7, 6.42 ,92,59,24,27,75,0,1,2,0,365,61, 2.8 , 8.2 , 2.9 , 2.6 , 1.44 , 3.23 , 0.16 , 6.64 , 6.21 ,5.8, 14 , 11 ,0.25149,-0.5
Dr VerHagen,R,28,1,DET,AL,Reliever,4,3,0,0,22,4,0,3,174,58.0, 5.90 ,70,38,9,23,51,1,3,4,0,258,40, 2.2 , 7.9 , 3.6 , 1.4 , 1.60 , 1.95 , 0.08 , 6.21 , 4.86 ,4.63, 30 , 18 ,0.320355,0.2
Jo Musgrove,R,26,1,PIT,NL,Starter,11,12,0,0,32,31,0,0,511,170.3, 4.44 ,168,84,21,39,157,1,2,9,0,718,98, 4.0 , 8.3 , 2.1 , 1.1 , 1.22 , 1.46 , 0.06 , 5.18 , 3.80 ,3.7, 79 , 72 ,0.5825,3.5
Ca Martinez,R,27,1,STL,NL,Reliever,4,2,0,0,48,0,24,38,145,48.3, 3.17 ,39,17,2,18,53,1,2,3,0,200,18, 2.9 , 9.9 , 3.4 , 0.4 , 1.18 , 0.79 , 0.02 , 3.35 , 2.85 ,2.84, 158 , 95 ,11.7,1.2
Ma Andriese,R,29,1,ARI,NL,Reliever,5,5,0,0,54,0,1,13,212,70.7, 4.71 ,72,37,8,27,79,4,9,3,2,310,37, 2.9 , 10.1 , 3.4 , 1.0 , 1.40 , 1.51 , 0.06 , 4.71 , 3.71 ,3.46, 128 , 55 ,0.92,0.7
Se Romo,R,36,2,MIN,AL,Reliever,2,1,0,0,65,0,20,33,181,60.3, 3.43 ,50,23,7,17,60,3,3,2,1,249,27, 3.5 , 9.0 , 2.5 , 1.0 , 1.11 , 1.44 , 0.06 , 4.03 , 3.66 ,3.44, 100 , 52 ,0.873665,1.0
Ti Hill,L,29,1,KCA,AL,Reliever,2,0,0,0,46,0,1,4,119,39.7, 3.63 ,31,16,4,13,39,2,0,4,0,161,17, 3.0 , 8.8 , 2.9 , 0.9 , 1.11 , 1.34 , 0.05 , 3.86 , 3.83 ,3.67, 90 , 35 ,0.31332,0.5
Ty Clippard,R,34,1,CLE,AL,Reliever,1,0,0,0,53,3,0,7,186,62.0, 2.90 ,38,20,8,15,64,0,3,7,0,241,20, 4.3 , 9.3 , 2.2 , 1.2 , 0.85 , 1.53 , 0.07 , 2.90 , 3.88 ,3.79, 111 , 38 ,1.27427,0.7
Ja Junis,R,26,1,KCA,AL,Starter,9,14,0,0,31,31,0,0,526,175.3, 5.24 ,192,102,31,58,164,1,4,11,0,771,108, 2.8 , 8.4 , 3.0 , 1.6 , 1.43 , 2.10 , 0.09 , 5.54 , 4.81 ,4.57, 46 , 41 ,0.57825,1.5
Ni Ramirez,L,30,1,DET,AL,Reliever,5,4,0,0,46,0,0,7,239,79.7, 4.07 ,76,36,11,35,74,4,6,1,0,348,45, 2.1 , 8.4 , 4.0 , 1.2 , 1.39 , 1.82 , 0.07 , 5.08 , 4.49 ,4.27, 43 , 29 ,0.426712,0.4
Ma Bowman,R,28,1,CIN,NL,Reliever,2,0,0,0,27,0,0,10,96,32.0, 3.66 ,27,13,2,13,25,3,0,0,0,137,15, 1.9 , 7.0 , 3.7 , 0.6 , 1.25 , 1.03 , 0.03 , 4.22 , 3.67 ,3.43, 37 , 41 ,0.26856,0.3
Mi Lorenzen,R,27,1,CIN,NL,Reliever,1,4,0,0,73,0,7,16,250,83.3, 2.92 ,68,27,9,28,85,1,2,2,0,343,29, 3.0 , 9.2 , 3.0 , 1.0 , 1.15 , 1.42 , 0.06 , 3.13 , 3.64 ,3.55, 100 , 54 ,1.95,1.3
Ke McCarthy,R,27,1,KCA,AL,Reliever,4,2,0,0,56,0,1,14,181,60.3, 4.48 ,68,30,4,21,38,6,2,2,0,268,31, 1.8 , 5.7 , 3.1 , 0.6 , 1.48 , 1.01 , 0.03 , 4.62 , 3.95 ,3.69, 14 , 41 ,0.447696,0.5
Ja Garcia,L,26,1,MIA,NL,Reliever,4,2,0,0,53,0,0,11,152,50.7, 3.02 ,40,17,4,16,39,2,4,2,0,206,17, 2.4 , 6.9 , 2.8 , 0.7 , 1.11 , 1.11 , 0.04 , 3.02 , 3.75 ,3.7, 39 , 38 ,0.46252,0.5
Se Manaea,L,27,1,OAK,AL,Reliever,4,0,0,0,5,5,0,0,89,29.7, 1.21 ,16,4,3,7,30,0,1,2,0,109,4, 4.3 , 9.1 , 2.1 , 0.9 , 0.78 , 1.25 , 0.05 , 1.21 , 3.40 ,3.38, 120 , 42 ,3.15,0.8
Jo Berrios,R,25,1,MIN,AL,Starter,14,8,1,0,32,32,0,0,601,200.3, 3.68 ,194,82,26,51,195,0,8,9,1,842,94, 3.8 , 8.8 , 2.3 , 1.2 , 1.22 , 1.55 , 0.07 , 4.22 , 3.84 ,3.74, 89 , 78 ,0.62,4.3
Cr Kimbrel,R,31,1,CHN,NL,Reliever,0,4,0,0,23,0,13,17,62,20.7, 6.53 ,21,15,9,12,30,0,0,2,0,96,15, 2.5 , 13.1 , 5.2 , 3.9 , 1.60 , 4.94 , 0.39 , 6.53 , 7.99 ,7.32, 56 , 2 ,10.0,-1.1
Ju Urias,L,22,1,LAN,NL,Reliever,4,3,0,0,37,8,4,7,239,79.7, 2.49 ,59,22,7,27,85,1,2,5,1,326,28, 3.1 , 9.6 , 3.1 , 0.8 , 1.08 , 1.22 , 0.05 , 3.16 , 3.41 ,3.38, 126 , 63 ,0.565,1.7
Br Keller,R,23,1,KCA,AL,Starter,7,14,0,0,28,28,0,0,496,165.3, 4.19 ,154,77,15,70,122,2,9,9,1,709,80, 1.7 , 6.6 , 3.8 , 0.8 , 1.35 , 1.33 , 0.04 , 4.35 , 4.34 ,4.3, 17 , 46 ,0.578175,2.3
To Milone,L,32,1,SEA,AL,Reliever,4,10,0,0,23,6,0,0,335,111.7, 4.76 ,102,59,24,23,94,2,1,2,0,453,61, 4.1 , 7.6 , 1.9 , 1.9 , 1.12 , 2.36 , 0.11 , 4.92 , 4.98 ,4.78, 31 , 26 ,0.393888,0.0
Lu Sims,R,25,1,CIN,NL,Reliever,2,1,0,0,24,4,0,2,129,43.0, 4.60 ,31,22,8,19,57,0,1,2,0,177,22, 3.0 , 11.9 , 4.0 , 1.7 , 1.16 , 2.30 , 0.13 , 4.60 , 4.43 ,4.26, 159 , 21 ,0.229768,0.4
Ad Houser,R,26,1,MIL,NL,Reliever,6,7,0,0,35,18,0,7,334,111.3, 3.72 ,101,46,14,37,117,2,2,5,0,462,49, 3.2 , 9.5 , 3.0 , 1.1 , 1.24 , 1.59 , 0.07 , 3.96 , 3.86 ,3.72, 104 , 55 ,0.450584,1.5
Ky Gibson,R,31,1,MIN,AL,Reliever,13,7,0,0,34,29,0,0,480,160.0, 4.84 ,175,86,23,56,160,0,8,7,0,706,99, 2.9 , 9.0 , 3.2 , 1.3 , 1.44 , 1.79 , 0.08 , 5.57 , 4.25 ,4.09, 74 , 52 ,8.125,2.6
Lu Weaver,R,25,1,ARI,NL,Reliever,4,3,0,0,12,12,0,0,193,64.3, 2.94 ,55,21,6,14,69,1,0,3,0,260,22, 4.9 , 9.7 , 2.0 , 0.8 , 1.07 , 1.15 , 0.05 , 3.08 , 3.06 ,2.98, 159 , 88 ,0.5813,1.8
Da Phelps,R,32,2,CHN,NL,Reliever,2,1,0,0,41,1,1,4,103,34.3, 3.41 ,31,13,5,17,36,1,3,1,0,147,14, 2.1 , 9.4 , 4.5 , 1.3 , 1.40 , 1.95 , 0.08 , 3.67 , 4.57 ,4.37, 63 , 17 ,0.833342,0.1
Yo Chirinos,R,25,1,TBA,AL,Reliever,9,5,0,0,26,18,0,0,400,133.3, 3.85 ,112,57,23,28,114,1,4,3,3,530,61, 4.1 , 7.7 , 1.9 , 1.6 , 1.05 , 1.94 , 0.09 , 4.12 , 4.43 ,4.28, 45 , 40 ,0.5618,1.3
Ry Stanek,R,27,2,MIA,NL,Reliever,0,4,0,0,63,27,1,12,231,77.0, 3.97 ,61,34,11,39,89,3,5,0,0,327,39, 2.3 , 10.4 , 4.6 , 1.3 , 1.30 , 1.94 , 0.08 , 4.56 , 4.26 ,4.04, 100 , 34 ,0.185013,0.7
Ma Magill,R,29,2,SEA,AL,Reliever,5,2,0,0,50,0,5,20,152,50.7, 4.09 ,51,23,7,20,64,3,5,2,0,229,31, 3.2 , 11.4 , 3.6 , 1.2 , 1.40 , 1.78 , 0.09 , 5.51 , 3.77 ,3.47, 177 , 47 ,0.21077,0.6
Ra Suarez,L,23,1,PHI,NL,Reliever,6,1,0,0,37,0,0,8,146,48.7, 3.14 ,52,17,6,12,42,2,1,1,1,205,18, 3.5 , 7.8 , 2.2 , 1.1 , 1.32 , 1.48 , 0.06 , 3.33 , 3.88 ,3.72, 60 , 36 ,0.334208,0.4
Cr Stammen,R,35,1,SDN,NL,Reliever,8,7,0,0,76,0,4,12,246,82.0, 3.29 ,80,30,13,15,73,2,0,2,0,339,36, 4.9 , 8.0 , 1.6 , 1.4 , 1.16 , 1.77 , 0.08 , 3.95 , 4.10 ,3.89, 66 , 40 ,2.25,0.4
Jo Jimenez,R,24,1,DET,AL,Reliever,4,7,0,0,66,0,9,29,179,59.7, 4.37 ,56,29,13,23,82,1,1,4,1,257,33, 3.6 , 12.4 , 3.5 , 2.0 , 1.32 , 2.56 , 0.15 , 4.98 , 4.64 ,4.31, 181 , 24 ,0.5692,0.3
Lu Jackson,R,27,1,ATL,NL,Reliever,9,2,0,0,70,0,18,35,218,72.7, 3.84 ,76,31,10,26,106,4,3,2,0,315,34, 4.1 , 13.1 , 3.2 , 1.2 , 1.40 , 1.73 , 0.10 , 4.21 , 3.23 ,2.98, 302 , 92 ,0.585,1.3
